"Startup_Name","Industry","Funding_Rounds","Investment_Amount__USD_","Valuation__USD_","Number_of_Investors","Country","Year_Founded","Growth_Rate____","Age","Year"
"Startup_91","SaaS",7,1480174017.83,6153889306.39339,24,"USA",2016-04-01,159.77,9,2016
"Startup_92","Blockchain",7,1868556515.9,5626482827.87125,48,"China",2006-04-01,74.81,19,2006
"Startup_93","HealthTech",4,4965764721.83,22063441300.7062,19,"USA",2022-04-01,185.18,3,2022
"Startup_94","EdTech",6,4373093561.43,14431864169.3447,21,"Singapore",2017-04-01,31.3,8,2017
"Startup_95","HealthTech",4,4236712037.57,18506506243.3867,21,"Canada",2012-04-01,27.37,13,2012
"Startup_96","Fintech",3,835931781.31,2239262009.8849,23,"Singapore",2017-04-01,162.48,8,2017
"Startup_97","EdTech",7,1110163040.41,3432586808.65679,43,"France",2012-04-01,122.79,13,2012
"Startup_98","SaaS",5,817466253.48,2610638765.1168,40,"Brazil",2010-04-01,160.46,15,2010
"Startup_99","E-commerce",3,540940572.76,2291586359.29455,42,"France",2001-04-01,59.69,24,2001
"Startup_100","Blockchain",8,3308060362.77,5174334068.1344,39,"Canada",2005-04-01,5.42,20,2005
"Startup_101","Fintech",3,222399646.12,866057139.43245,9,"UK",2005-04-01,14.62,20,2005
"Startup_102","EdTech",7,4504529995.14,18845746993.9291,21,"Singapore",2018-04-01,195.16,7,2018
"Startup_103","Blockchain",4,4777022152.23,9085127518.30215,8,"Australia",2007-04-01,40.44,18,2007
"Startup_104","Biotech",1,4255546911.86,11515638960.5678,9,"USA",2000-04-01,92.03,25,2000
"Startup_105","Fintech",10,4055211093.34,16887114468.1627,21,"Australia",2009-04-01,109.49,16,2009
"Startup_106","E-commerce",5,1022453449.75,2849976436.57657,45,"France",2023-04-01,22.65,2,2023
"Startup_107","SaaS",7,1862792339.72,8231911404.88896,25,"Germany",2013-04-01,151.19,12,2013
"Startup_108","SaaS",3,2793350138.78,6641452650.34907,24,"Germany",2012-04-01,169.31,13,2012
"Startup_109","EdTech",1,190552569.77,579122421.694871,21,"Singapore",2015-04-01,6.85,10,2015
"Startup_110","E-commerce",3,4176182629.51,10240648046.8775,37,"Australia",2003-04-01,36.45,22,2003
"Startup_111","HealthTech",4,291159535.66,1212955100.37229,26,"UK",2001-04-01,98.27,24,2001
"Startup_112","SaaS",6,3957776781.25,13305043815.7361,6,"USA",2001-04-01,14.82,24,2001
"Startup_113","Biotech",2,4061720586.36,7008812342.15335,34,"Brazil",2018-04-01,87.1,7,2018
"Startup_114","Biotech",2,1973996602.66,5342730965.9157,25,"Australia",2017-04-01,21.01,8,2017
"Startup_115","SaaS",6,1207908188.67,5176553240.21847,24,"Germany",2018-04-01,135.34,7,2018
"Startup_116","HealthTech",10,4148060234.72,19654238527.6706,12,"Singapore",2020-04-01,192.62,5,2020
"Startup_117","HealthTech",5,297037415.8,631590080.98306,27,"Germany",2022-04-01,10.75,3,2022
"Startup_118","EdTech",5,3187593538.06,14966432137.1943,2,"France",2021-04-01,166.15,4,2021
"Startup_119","Biotech",9,4898710204.12,10016527782.7413,9,"France",2004-04-01,107.44,21,2004
"Startup_120","AI",1,2434425122.57,7540340367.7467,8,"USA",2003-04-01,175.64,22,2003
"Startup_121","Fintech",8,3231666823.75,8713378948.18641,15,"Brazil",2014-04-01,62.93,11,2014
"Startup_122","HealthTech",7,359706950.69,893681743.527862,45,"Australia",2007-04-01,139.11,18,2007
"Startup_123","EdTech",7,12109878.52,35333149.7631945,35,"France",2001-04-01,61.1,24,2001
"Startup_124","AI",4,4058325476.85,10666646232.5481,3,"China",2014-04-01,172.42,11,2014
"Startup_125","Biotech",9,1049458896.63,3791331978.25431,24,"Brazil",2004-04-01,100.65,21,2004
"Startup_126","E-commerce",6,4243311793.92,20389236539.7488,12,"Canada",2014-04-01,20.41,11,2014
"Startup_127","SaaS",9,4724792423.72,22577045559.2122,36,"Canada",2014-04-01,148.05,11,2014
"Startup_128","Blockchain",1,996364970.4,4709629475.22004,35,"Singapore",2010-04-01,181.98,15,2010
"Startup_129","Blockchain",6,3357130456.98,13831720869.292,14,"Brazil",2011-04-01,131.76,14,2011
"Startup_130","Biotech",10,1485976623.94,5820844542.53728,40,"Germany",2017-04-01,112.16,8,2017
"Startup_131","EdTech",9,1086640783.67,3375032748.53194,50,"Brazil",2023-04-01,179.37,2,2023
"Startup_132","Blockchain",4,670778423.23,2036188590.99632,31,"Singapore",2021-04-01,75.42,4,2021
"Startup_133","AI",9,2162442988.16,9684369294.29721,13,"USA",2011-04-01,121.76,14,2011
"Startup_134","Blockchain",1,3353919321.47,14101768667.1437,30,"Germany",2008-04-01,77.07,17,2008
"Startup_135","EdTech",4,2832206309.3,8112943643.78681,32,"Brazil",2010-04-01,111.76,15,2010
"Startup_136","EdTech",1,3021364194.14,8955654521.83277,23,"Singapore",2017-04-01,6.27,8,2017
"Startup_137","Biotech",9,1946598865.69,3284018974.77379,47,"China",2017-04-01,101.04,8,2017
"Startup_138","Fintech",8,1489972758.45,6800634564.45886,27,"China",2022-04-01,35.29,3,2022
"Startup_139","SaaS",10,3735587366.9,12047108054.1647,26,"Brazil",2016-04-01,98.03,9,2016
"Startup_140","Fintech",8,518119024.64,1848811352.67076,4,"Australia",2023-04-01,60.11,2,2023
"Startup_141","SaaS",10,2947681328.36,10472893197.3847,4,"UK",2022-04-01,115.34,3,2022
"Startup_142","HealthTech",5,1977534387.2,7797893013.34299,19,"India",2005-04-01,181.97,20,2005
"Startup_143","Fintech",3,4770544813.57,12197472011.3253,20,"Singapore",2000-04-01,34.12,25,2000
"Startup_144","AI",1,3369684711.8,12010652855.4483,47,"Brazil",2022-04-01,60.81,3,2022
"Startup_145","EdTech",10,4766934837.14,22688495648.3283,10,"France",2005-04-01,37.06,20,2005
"Startup_146","Fintech",9,3908318141,15444336263.0341,31,"Germany",2018-04-01,142.43,7,2018
"Startup_147","SaaS",9,4769084379.19,14035036447.8352,41,"China",2021-04-01,192.97,4,2021
"Startup_148","EdTech",10,4955751623.38,16105806924.6452,31,"Canada",2014-04-01,68.54,11,2014
"Startup_149","SaaS",2,910772164.92,1496492548.48509,8,"India",2013-04-01,36.1,12,2013
"Startup_150","EdTech",10,1170195349.16,2107219309.26139,9,"Canada",2022-04-01,92.8,3,2022
"Startup_151","Fintech",6,1967034352.33,5472960035.67313,17,"Australia",2007-04-01,65.59,18,2007
"Startup_152","Biotech",2,621222707.35,2548933014.43381,32,"UK",2007-04-01,157.7,18,2007
"Startup_153","Biotech",10,2136105819.3,6159536137.74271,12,"India",2020-04-01,69.58,5,2020
"Startup_154","EdTech",3,2368764171.87,11722669062.1713,32,"France",2002-04-01,118.16,23,2002
"Startup_155","Blockchain",1,821122733.28,3928588827.5011,26,"Germany",2019-04-01,198.98,6,2019
"Startup_156","Biotech",5,4780102280.95,19249131120.151,50,"USA",2019-04-01,33.75,6,2019
"Startup_157","AI",4,2804170174.14,6711381134.88206,1,"India",2008-04-01,49.31,17,2008
"Startup_158","EdTech",9,1210756532.74,5972236369.3723,25,"Singapore",2011-04-01,143.16,14,2011
"Startup_159","AI",4,3380537691.88,13459651069.2472,36,"Brazil",2011-04-01,34.61,14,2011
"Startup_160","AI",8,4661985381.5,22098096261.6755,43,"China",2012-04-01,51.38,13,2012
"Startup_161","AI",1,408425258.08,1371906998.98247,6,"Brazil",2020-04-01,104.06,5,2020
"Startup_162","EdTech",1,1953427282.17,8347575180.92638,44,"UK",2019-04-01,53.66,6,2019
"Startup_163","AI",6,2108321986.66,7771127335.71207,3,"Australia",2020-04-01,198.66,5,2020
"Startup_164","E-commerce",8,2579938016.52,12689109686.1739,28,"Germany",2018-04-01,124.32,7,2018
"Startup_165","HealthTech",3,1792797298.66,8885946522.63755,30,"France",2018-04-01,106.38,7,2018
"Startup_166","Fintech",7,2225176804.86,7460309814.81599,11,"Singapore",2017-04-01,161.14,8,2017
"Startup_167","AI",4,3942136132.46,13331722858.0721,18,"Canada",2011-04-01,194.8,14,2011
"Startup_168","SaaS",5,2050994893.77,3323018202.04634,50,"Australia",2015-04-01,58.52,10,2015
"Startup_169","EdTech",1,1497188953.5,3463957403.98997,4,"India",2013-04-01,84.16,12,2013
"Startup_170","EdTech",7,2795286271.07,9372294266.05994,11,"Brazil",2005-04-01,26.14,20,2005
"Startup_171","E-commerce",6,4069844380.58,10407319506.5149,24,"China",2015-04-01,29.38,10,2015
"Startup_172","SaaS",9,74056826.76,231893726.740834,41,"Canada",2009-04-01,20.57,16,2009
"Startup_173","AI",8,4160635769.99,7671882583.85291,17,"Canada",2021-04-01,117.18,4,2021
"Startup_174","E-commerce",7,1246281478.08,3529517302.80145,44,"USA",2022-04-01,146.5,3,2022
"Startup_175","Fintech",10,2163501159.34,5677567960.2755,23,"India",2018-04-01,144.39,7,2018
"Startup_176","E-commerce",10,3023593160.48,9708896500.83136,2,"Germany",2011-04-01,174.66,14,2011
"Startup_177","AI",6,4022507020.31,17218730897.7726,10,"Canada",2018-04-01,74.68,7,2018
"Startup_178","Blockchain",8,2639730016.81,8690078938.97669,50,"Germany",2023-04-01,190.91,2,2023
"Startup_179","EdTech",8,2980685741.88,6492509510.23255,49,"Brazil",2015-04-01,190.16,10,2015
"Startup_180","Biotech",5,4585075338.58,19523891245.3142,36,"Germany",2002-04-01,129.84,23,2002
"Startup_181","Fintech",9,3472230658.56,14970962379.875,20,"Singapore",2022-04-01,135.39,3,2022
"Startup_182","SaaS",5,2676973040.4,10097355729.5303,30,"Singapore",2019-04-01,79.06,6,2019
"Startup_183","Blockchain",2,859760107.91,3760108625.52158,19,"USA",2006-04-01,69.53,19,2006
"Startup_184","Fintech",2,4718625604.18,15939288190.4536,43,"France",2021-04-01,36.79,4,2021
"Startup_185","E-commerce",10,2159651827.77,9752567479.61451,4,"Germany",2013-04-01,119.32,12,2013
"Startup_186","E-commerce",9,3419195284.17,9807518461.77533,31,"Australia",2000-04-01,146.31,25,2000
"Startup_187","Fintech",1,4692850983.3,9430583718.7548,38,"Australia",2019-04-01,163.14,6,2019
"Startup_188","AI",3,933765489.98,3396760378.7125,35,"Germany",2012-04-01,38.02,13,2012
"Startup_189","SaaS",8,731636879.73,1108299044.84903,15,"Canada",2013-04-01,39.55,12,2013
"Startup_190","HealthTech",1,443939762.53,697379814.579114,33,"USA",2023-04-01,102.51,2,2023
"Startup_191","EdTech",5,3537897853.25,10415760749.1121,24,"UK",2002-04-01,87.76,23,2002
"Startup_192","HealthTech",6,2454112015.39,4119459442.38087,31,"UK",2017-04-01,92.85,8,2017
"Startup_193","Biotech",3,3028499025.45,8249717640.8136,23,"Brazil",2001-04-01,166.84,24,2001
"Startup_194","AI",6,1512009898.68,5283177735.6817,8,"China",2003-04-01,14.29,22,2003
"Startup_195","Blockchain",6,4322413750.27,20690412801.2316,12,"Brazil",2019-04-01,121.4,6,2019
"Startup_196","Biotech",8,168565481.2,727195576.381133,5,"UK",2013-04-01,171.9,12,2013
"Startup_197","E-commerce",9,4179505137.7,8856665634.20592,29,"Germany",2000-04-01,75.7,25,2000
"Startup_198","AI",9,2228321054.22,8017264022.34746,1,"Australia",2002-04-01,74.59,23,2002
"Startup_199","Fintech",5,633792175.1,2966463386.11733,34,"India",2015-04-01,91.34,10,2015
"Startup_200","SaaS",6,1475455253.97,3684352503.89716,4,"Germany",2013-04-01,144.69,12,2013
"Startup_201","EdTech",3,542731279.17,1969040721.45257,1,"Australia",2019-04-01,24.45,6,2019
"Startup_202","HealthTech",10,4330028544.99,7931295284.56665,1,"Canada",2013-04-01,40.6,12,2013
"Startup_203","SaaS",6,685270370.05,2402454292.42642,50,"Australia",2006-04-01,47.31,19,2006
"Startup_204","HealthTech",6,1258425677.69,5298085929.7477,8,"Australia",2013-04-01,37.21,12,2013
"Startup_205","SaaS",1,1550418955.9,6253327057.39936,2,"India",2004-04-01,98.86,21,2004
"Startup_206","Fintech",4,4746683505.45,7761659263.08905,24,"USA",2016-04-01,130.02,9,2016
"Startup_207","Fintech",6,3624908618.04,12768911221.391,16,"France",2015-04-01,53.41,10,2015
"Startup_208","Biotech",4,3348055915.81,11313994823.9934,39,"USA",2004-04-01,16.08,21,2004
"Startup_209","SaaS",10,2059767260.11,9029865493.37284,11,"Singapore",2021-04-01,110.7,4,2021
"Startup_210","EdTech",9,998855411.79,4208170808.15265,8,"Brazil",2011-04-01,151.06,14,2011
"Startup_211","EdTech",6,4645711353.76,14179348714.2151,24,"India",2021-04-01,177.87,4,2021
"Startup_212","AI",6,3728949345.33,15948353330.8953,21,"Singapore",2023-04-01,111.77,2,2023
"Startup_213","AI",5,2787690069.46,10481365711.5389,45,"China",2009-04-01,10.48,16,2009
"Startup_214","EdTech",9,2679394095.8,11494147053.6794,10,"China",2010-04-01,165.9,15,2010
"Startup_215","EdTech",7,439284861.62,1562829428.65278,27,"India",2019-04-01,106.86,6,2019
"Startup_216","Biotech",9,2577216182.09,12253644328.4305,28,"China",2016-04-01,140.7,9,2016
"Startup_217","Biotech",4,4445077510.45,22111913741.3702,43,"China",2018-04-01,141.44,7,2018
"Startup_218","Blockchain",4,4695901675.82,20788206317.3143,42,"UK",2017-04-01,90.56,8,2017
"Startup_219","SaaS",5,3506488816.37,16858063236.6064,29,"UK",2021-04-01,188.35,4,2021
"Startup_220","AI",2,3243318328.48,8884770582.00121,34,"UK",2012-04-01,65.43,13,2012
"Startup_221","Fintech",10,2390702822.95,9276016886.41926,42,"China",2010-04-01,104.42,15,2010
"Startup_222","Biotech",7,3377630330.67,9382352167.43517,4,"China",2018-04-01,153.71,7,2018
"Startup_223","HealthTech",8,3458218709.89,7842816033.90036,9,"Brazil",2014-04-01,138.81,11,2014
"Startup_224","Fintech",7,3731753092.25,16420535787.8093,50,"France",2018-04-01,160.96,7,2018
"Startup_225","Biotech",7,3632948850.48,13901643179.4685,6,"India",2010-04-01,26.01,15,2010
"Startup_226","AI",9,1266365818.93,6118534838.57905,35,"USA",2015-04-01,42.96,10,2015
"Startup_227","Fintech",2,3823899177.04,18201047898.4833,50,"Germany",2005-04-01,103.9,20,2005
"Startup_228","EdTech",8,363240396.83,1219367670.24057,25,"India",2011-04-01,102.15,14,2011
"Startup_229","EdTech",8,386027409.33,1930125716.3253,26,"China",2016-04-01,105.83,9,2016
"Startup_230","AI",4,1695120557.5,5083482836.03298,1,"USA",2004-04-01,100.82,21,2004
"Startup_231","AI",9,652805002.99,1395188276.0305,22,"Canada",2005-04-01,25.26,20,2005
"Startup_232","Blockchain",8,854377165.54,2728289650.97886,31,"Australia",2007-04-01,29.43,18,2007
"Startup_233","HealthTech",9,1075247880.98,4790224564.96226,11,"Germany",2015-04-01,130.56,10,2015
"Startup_234","Blockchain",8,400841101.43,662110760.74165,15,"Brazil",2010-04-01,198.01,15,2010
"Startup_235","E-commerce",5,379381502.74,747379334.645783,39,"Canada",2019-04-01,122.77,6,2019
"Startup_236","Fintech",4,4197876048.33,12825152328.547,8,"Canada",2000-04-01,76.55,25,2000
"Startup_237","Biotech",9,2527949676.1,4204560908.76161,19,"France",2010-04-01,119.46,15,2010
"Startup_238","E-commerce",2,1093248259.89,2279779309.41013,35,"Australia",2003-04-01,140.86,22,2003
"Startup_239","HealthTech",7,4023736139.69,14714029689.8704,36,"USA",2016-04-01,16.34,9,2016
"Startup_240","SaaS",7,1253743174.76,4041124098.23383,45,"UK",2018-04-01,63.38,7,2018
"Startup_241","EdTech",10,1017523655.27,3688922130.49211,33,"India",2022-04-01,158.64,3,2022
"Startup_242","E-commerce",5,1342310942.23,3446562281.06882,24,"Brazil",2021-04-01,57.58,4,2021
"Startup_243","Fintech",3,2717142585.21,11642202397.1027,15,"Canada",2023-04-01,156.11,2,2023
"Startup_244","Fintech",7,2043421497.37,5265703195.45513,28,"Brazil",2018-04-01,33.62,7,2018
"Startup_245","EdTech",10,4898183493.34,22870233548.1168,4,"Canada",2014-04-01,86.74,11,2014
"Startup_246","Blockchain",1,2240610148.38,5028323038.98881,24,"Australia",2019-04-01,114.88,6,2019
"Startup_247","Biotech",4,2271018470.67,4837009968.86699,48,"India",2016-04-01,105.47,9,2016
"Startup_248","EdTech",8,4247685608.22,7909848190.50599,25,"Brazil",2000-04-01,153.65,25,2000
"Startup_249","Fintech",6,2133781809.28,7258306476.78683,6,"Singapore",2001-04-01,69.38,24,2001
"Startup_250","HealthTech",1,1520118508.17,6084662753.81228,44,"UK",2005-04-01,153.25,20,2005
"Startup_251","Blockchain",6,3000757848.42,5904647394.32909,21,"USA",2017-04-01,88.31,8,2017
"Startup_252","AI",4,4346289463.85,7001483722.25389,28,"India",2021-04-01,149.6,4,2021
"Startup_253","HealthTech",3,1723538065.72,3114308797.63784,11,"Australia",2020-04-01,83.32,5,2020
"Startup_254","Fintech",1,1182544803.45,4393227757.742,2,"UK",2006-04-01,10.96,19,2006
"Startup_255","AI",1,2063226365.66,7644608141.12514,14,"USA",2015-04-01,156.25,10,2015
"Startup_256","Fintech",2,4597521560.08,14390499979.6916,39,"Canada",2015-04-01,192.68,10,2015
"Startup_257","AI",10,1374644681.58,6097130881.91804,38,"Germany",2000-04-01,14.04,25,2000
"Startup_258","EdTech",4,1750123034.6,4508754227.43416,27,"Germany",2001-04-01,167.53,24,2001
"Startup_259","Biotech",2,2332266749.1,11093368482.2578,38,"USA",2015-04-01,8.66,10,2015
"Startup_260","Biotech",3,528679036.65,2636579981.11086,48,"Brazil",2003-04-01,191.88,22,2003
"Startup_261","E-commerce",2,3543353980.54,14166396321.9814,8,"Singapore",2001-04-01,33.04,24,2001
"Startup_262","EdTech",5,3564928262.83,16855295900.7781,19,"Germany",2011-04-01,129.82,14,2011
"Startup_263","Biotech",4,1227999591.44,3925379084.68562,7,"China",2003-04-01,56.28,22,2003
"Startup_264","SaaS",5,2383040228.11,5541034771.25569,14,"China",2010-04-01,158.96,15,2010
"Startup_265","E-commerce",9,4201382899.47,6890778313.58905,36,"UK",2003-04-01,183.68,22,2003
"Startup_266","E-commerce",9,2078074160.43,3660002170.20952,23,"Germany",2022-04-01,70.97,3,2022
"Startup_267","E-commerce",9,2350701523.66,10258454822.6353,29,"Canada",2004-04-01,80.76,21,2004
"Startup_268","AI",2,2730965394.87,11642934284.1646,47,"Australia",2017-04-01,8.18,8,2017
"Startup_269","AI",2,866649670.39,1996872950.98977,29,"Singapore",2009-04-01,102.04,16,2009
"Startup_270","Biotech",8,2807336928.31,13664307167.4796,48,"Singapore",2009-04-01,115.39,16,2009
